trade_id,ticker,entry_date,exit_date,score,pnl_pct,capital,exit_value,closed_date,Year
405,DUK,2022-01-19,2022-01-26,4,0.0006870086825339,2106.165664495603,2107.612618593966,2022-01-26,2022
411,CVX,2022-01-31,2022-02-01,5,0.04,2056.3101168464736,2138.5625215203327,2022-02-01,2022
412,MA,2022-02-07,2022-02-07,4,-0.02,2072.7605977812455,2031.3053858256205,2022-02-08,2022
414,BAC,2022-02-14,2022-02-14,4,-0.02,2064.4695553901206,2023.1801642823182,2022-02-15,2022
413,BA,2022-02-14,2022-02-18,4,-0.0199999999999999,2064.4695553901206,2023.1801642823184,2022-02-18,2022
415,COP,2022-03-10,2022-03-14,4,-0.02,2047.9537989469995,2006.9947229680595,2022-03-14,2022
416,NVDA,2022-03-24,2022-03-24,4,0.04,2039.7619837512118,2121.35246310126,2022-03-25,2022
417,COP,2022-03-30,2022-04-01,4,-0.02,2056.0800796212216,2014.9584780287971,2022-04-01,2022
419,UPS,2022-04-01,2022-04-01,5,-0.02,2047.8557593027367,2006.898644116682,2022-04-02,2022
418,UNH,2022-04-01,2022-04-06,5,0.04,2047.8557593027367,2129.7699896748463,2022-04-06,2022
420,GOOGL,2022-04-01,2022-04-06,4,-0.02,2047.8557593027372,2006.8986441166824,2022-04-06,2022
421,V,2022-04-07,2022-04-07,5,-0.02,2047.8557593027367,2006.898644116682,2022-04-08,2022
422,AMZN,2022-04-07,2022-04-07,4,-0.0200000000000001,2047.8557593027367,2006.8986441166817,2022-04-08,2022
423,GOOGL,2022-04-07,2022-04-08,4,-0.02,2047.8557593027372,2006.8986441166824,2022-04-08,2022
424,MSFT,2022-04-07,2022-04-11,4,-0.0200000000000001,2047.8557593027372,2006.8986441166821,2022-04-11,2022
426,ABBV,2022-04-12,2022-04-13,4,-0.02,2015.090067153893,1974.7882658108151,2022-04-13,2022
425,COST,2022-04-12,2022-04-20,5,0.0287032948313024,2015.090067153893,2072.92979146304,2022-04-20,2022
427,KO,2022-05-02,2022-05-02,4,-0.02,2018.5976517471072,1978.225698712165,2022-05-03,2022
428,PEP,2022-05-03,2022-05-10,4,0.0138939566900275,2010.5232611401186,2038.4573842546924,2022-05-10,2022
429,WMT,2022-05-09,2022-05-16,4,-0.0017511639237653,2010.5232611401186,2007.002505337319,2022-05-16,2022
431,LLY,2022-06-03,2022-06-06,4,0.04,2015.4059346024733,2096.022171986572,2022-06-06,2022
430,CVX,2022-06-01,2022-06-08,4,0.0248967399928947,2015.4059346024733,2065.582972136408,2022-06-08,2022
432,MRK,2022-06-29,2022-07-01,4,-0.02,2041.5645895860798,2000.7332977943581,2022-07-01,2022
433,UPS,2022-07-13,2022-07-19,4,0.04,2033.3983312277358,2114.734264476845,2022-07-19,2022
434,ABBV,2022-07-19,2022-07-21,4,-0.02,2049.6655178775577,2008.6722075200066,2022-07-21,2022
435,UNH,2022-07-21,2022-07-28,4,0.04,2041.4668558060473,2123.125530038289,2022-07-28,2022
436,COST,2022-07-27,2022-07-28,5,0.04,2041.4668558060473,2123.125530038289,2022-07-28,2022
437,LOW,2022-07-27,2022-07-27,5,-0.02,2041.4668558060473,2000.6375186899263,2022-07-28,2022
438,UPS,2022-07-27,2022-07-29,4,0.04,2041.4668558060469,2123.1255300382886,2022-07-29,2022
439,LOW,2022-08-03,2022-08-04,5,0.04,2082.2961929221683,2165.588040639055,2022-08-04,2022
440,WMT,2022-08-05,2022-08-11,4,0.04,2098.9545624655457,2182.9127449641674,2022-08-11,2022
443,LOW,2022-08-10,2022-08-15,5,0.04,2098.9545624655457,2182.9127449641674,2022-08-15,2022
441,AVGO,2022-08-10,2022-08-17,5,-0.02,2098.9545624655457,2056.975471216235,2022-08-17,2022
442,CRM,2022-08-10,2022-08-17,5,-0.001062944611885,2098.9545624655457,2096.7234900227813,2022-08-17,2022
444,AVGO,2022-08-18,2022-08-22,4,-0.0199999999999999,2123.695802726579,2081.2218866720477,2022-08-22,2022
445,BAC,2022-08-22,2022-08-24,5,-0.02,2115.2010195156727,2072.8969991253593,2022-08-24,2022
447,NKE,2022-08-22,2022-08-26,4,-0.0199999999999999,2115.2010195156727,2072.8969991253593,2022-08-26,2022
448,AAPL,2022-08-23,2022-08-26,4,-0.02,2115.2010195156727,2072.8969991253593,2022-08-26,2022
446,JPM,2022-08-22,2022-08-29,5,-0.02,2115.2010195156727,2072.8969991253593,2022-08-29,2022
449,CVX,2022-08-31,2022-09-01,5,-0.02,2081.3578032034225,2039.730647139354,2022-09-01,2022
450,CAT,2022-08-31,2022-09-01,4,-0.02,2081.3578032034225,2039.730647139354,2022-09-01,2022
451,COP,2022-08-31,2022-09-07,4,-0.02,2081.3578032034225,2039.730647139354,2022-09-07,2022
452,HON,2022-09-06,2022-09-13,4,-0.0113837036863712,2064.7069407777954,2041.202928764787,2022-09-13,2022
453,NEE,2022-09-16,2022-09-22,4,-0.02,2051.6807071623803,2010.6470930191326,2022-09-22,2022
454,TSLA,2022-09-22,2022-09-22,4,-0.02,2043.4739843337302,2002.6045046470556,2022-09-23,2022
455,ABBV,2022-10-31,2022-11-07,5,0.0201834511042207,2035.3000883963953,2076.37946821296,2022-11-07,2022
456,LLY,2022-11-02,2022-11-08,4,0.04,2035.3000883963953,2116.712091932251,2022-11-08,2022
457,V,2022-11-04,2022-11-10,5,0.04,2035.3000883963953,2116.712091932251,2022-11-10,2022
460,MRK,2022-11-14,2022-11-18,4,0.04,2076.080765774051,2159.1239964050133,2022-11-18,2022
458,PEP,2022-11-14,2022-11-21,5,0.0344210597456553,2076.080765774051,2147.5416658495656,2022-11-21,2022
459,JNJ,2022-11-14,2022-11-21,4,0.04,2076.080765774051,2159.1239964050133,2022-11-21,2022
461,WMT,2022-11-15,2022-11-21,4,0.04,2076.0807657740506,2159.123996405013,2022-11-21,2022
462,V,2022-11-22,2022-11-30,4,0.04,2140.1988841677307,2225.80683953444,2022-11-30,2022
463,BAC,2022-11-29,2022-11-30,4,-0.0200000000000001,2140.1988841677307,2097.394906484376,2022-11-30,2022
465,HD,2022-11-29,2022-12-01,4,0.04,2140.198884167731,2225.8068395344403,2022-12-01,2022
464,CVX,2022-11-29,2022-12-05,4,-0.02,2140.198884167731,2097.3949064843764,2022-12-05,2022
466,BAC,2022-12-02,2022-12-05,4,-0.02,2165.8812707777433,2122.5636453621883,2022-12-05,2022
467,MS,2022-12-06,2022-12-06,5,-0.02,2148.6569501579615,2105.6838111548022,2022-12-07,2022
468,JPM,2022-12-06,2022-12-06,4,-0.02,2148.6569501579615,2105.6838111548022,2022-12-07,2022
469,XOM,2022-12-06,2022-12-06,4,-0.02,2148.6569501579615,2105.6838111548022,2022-12-07,2022
470,PFE,2022-12-07,2022-12-08,5,0.04,2122.8730667560662,2207.7879894263087,2022-12-08,2022
471,BA,2022-12-07,2022-12-08,4,0.04,2122.8730667560662,2207.7879894263087,2022-12-08,2022
473,MS,2022-12-07,2022-12-12,4,0.04,2122.873066756066,2207.7879894263083,2022-12-12,2022
472,GS,2022-12-07,2022-12-13,4,0.04,2122.8730667560662,2207.7879894263087,2022-12-13,2022
474,GE,2022-12-12,2022-12-15,4,-0.0200000000000001,2173.8220203582114,2130.345579951047,2022-12-15,2022
475,WMT,2022-12-12,2022-12-16,4,-0.02,2173.8220203582114,2130.345579951047,2022-12-16,2022
477,MSFT,2022-12-16,2022-12-16,4,-0.02,2173.4144287293943,2129.9461401548065,2022-12-17,2022
476,LLY,2022-12-14,2022-12-21,4,0.0250689068493272,2190.8050048922596,2245.7260914849435,2022-12-21,2022
478,DUK,2022-12-19,2022-12-27,5,0.03535400073908,2164.7207710144767,2241.2523107528245,2022-12-27,2022
479,MCD,2022-12-19,2022-12-27,4,0.0022159176387985,2164.7207710144767,2169.5176139540413,2022-12-27,2022
480,PFE,2023-01-05,2023-01-09,4,-0.0199999999999999,2191.970664868596,2148.1312515712243,2023-01-09,2023
481,BLK,2023-01-06,2023-01-09,4,0.04,2191.9706648685965,2279.6494914633404,2023-01-09,2023
482,ABBV,2023-01-10,2023-01-10,4,-0.0200000000000001,2200.7385475280703,2156.7237765775085,2023-01-11,2023
483,JNJ,2023-01-10,2023-01-11,4,-0.02,2200.7385475280703,2156.723776577509,2023-01-11,2023
484,MRK,2023-01-10,2023-01-18,4,-0.0160094403886607,2200.7385475280703,2165.505954940392,2023-01-18,2023
486,AMT,2023-01-19,2023-01-20,4,-0.0199999999999999,2176.0861206303102,2132.5643982177044,2023-01-20,2023
487,NEE,2023-01-19,2023-01-19,4,-0.0200000000000001,2176.0861206303102,2132.564398217704,2023-01-20,2023
490,GE,2023-01-20,2023-01-20,5,-0.02,2158.6774316652677,2115.5038830319622,2023-01-21,2023
488,XOM,2023-01-19,2023-01-23,4,0.04,2176.0861206303102,2263.129565455523,2023-01-23,2023
489,CAT,2023-01-20,2023-01-24,5,0.04,2158.6774316652677,2245.0245289318786,2023-01-24,2023
485,JPM,2023-01-19,2023-01-26,5,0.0344366620395988,2176.0861206303102,2251.023262935518,2023-01-26,2023
491,GOOGL,2023-01-26,2023-02-01,4,0.04,2199.708258818013,2287.696589170733,2023-02-01,2023
492,CAT,2023-02-01,2023-02-01,5,-0.02,2217.305924888557,2172.9598063907856,2023-02-02,2023
493,ADBE,2023-02-06,2023-02-10,4,-0.02,2208.4367011890026,2164.2679671652227,2023-02-10,2023
496,DIS,2023-02-13,2023-02-14,4,-0.02,2199.6029543842465,2155.6108952965615,2023-02-14,2023
494,COST,2023-02-09,2023-02-16,5,-0.0023551324776321,2208.4367011890026,2203.235540189238,2023-02-16,2023
495,CRM,2023-02-13,2023-02-17,5,-0.0200000000000001,2199.6029543842465,2155.6108952965615,2023-02-17,2023
498,WMT,2023-02-23,2023-02-23,5,-0.0199999999999999,2180.965898549219,2137.3465805782353,2023-02-24,2023
497,XOM,2023-02-21,2023-02-28,4,-0.0081220451539225,2180.965898549219,2163.2519950420374,2023-02-28,2023
499,CRM,2023-03-13,2023-03-14,4,0.04,2168.6992542535863,2255.44722442373,2023-03-14,2023
500,MSFT,2023-03-21,2023-03-28,4,0.0012730216650151,2186.048848287615,2188.8317358322665,2023-03-28,2023
501,NVDA,2023-04-06,2023-04-11,4,0.04,2186.605425796545,2274.0696428284073,2023-04-11,2023
502,AMZN,2023-04-12,2023-04-12,4,-0.02,2204.0982692029174,2160.016303818859,2023-04-13,2023
503,UNH,2023-04-17,2023-04-18,5,-0.02,2195.2818761261055,2151.3762386035833,2023-04-18,2023
504,GOOGL,2023-04-18,2023-04-18,4,-0.02,2186.5007486216014,2142.7707336491694,2023-04-19,2023
507,BLK,2023-04-24,2023-04-25,5,-0.02,2177.7547456271145,2134.1996507145723,2023-04-25,2023
505,JNJ,2023-04-19,2023-04-26,5,0.0038890946397796,2177.7547456271145,2186.2242399350876,2023-04-26,2023
506,UNH,2023-04-20,2023-04-27,4,0.0102992705274789,2177.7547456271145,2200.184030894829,2023-04-27,2023
508,AMZN,2023-04-26,2023-04-27,5,0.04,2170.7376255062004,2257.5671305264486,2023-04-27,2023
509,ADBE,2023-04-26,2023-04-26,4,-0.0200000000000001,2170.7376255062004,2127.322872996076,2023-04-27,2023
510,META,2023-04-26,2023-04-27,4,0.04,2170.7376255062004,2257.5671305264486,2023-04-27,2023
511,LLY,2023-04-27,2023-04-27,5,-0.02,2201.272334065817,2157.246887384501,2023-04-28,2023
512,MRK,2023-04-27,2023-04-27,5,-0.0200000000000001,2201.272334065817,2157.2468873845005,2023-04-28,2023
513,LOW,2023-04-27,2023-05-01,4,0.04,2201.272334065817,2289.32322742845,2023-05-01,2023
514,AMZN,2023-05-01,2023-05-01,4,-0.0200000000000001,2201.272334065817,2157.2468873845005,2023-05-02,2023
515,XOM,2023-05-02,2023-05-02,4,-0.02,2192.467244729554,2148.617899834963,2023-05-03,2023
516,GE,2023-05-05,2023-05-10,5,-0.02,2183.6973757506357,2140.0234282356228,2023-05-10,2023
517,NKE,2023-05-05,2023-05-10,4,-0.02,2183.6973757506357,2140.0234282356228,2023-05-10,2023
518,PEP,2023-05-23,2023-05-25,4,-0.0199999999999999,2166.2277967446307,2122.9032408097382,2023-05-25,2023
520,ORCL,2023-05-24,2023-05-25,5,0.04,2166.2277967446307,2252.876908614416,2023-05-25,2023
521,MA,2023-05-24,2023-05-31,4,-0.02,2166.227796744631,2122.9032408097387,2023-05-31,2023
519,LLY,2023-05-24,2023-06-01,5,0.0294575990485148,2166.227796744631,2230.039666628882,2023-06-01,2023
522,ADBE,2023-06-08,2023-06-09,5,0.04,2178.990170721481,2266.1497775503403,2023-06-09,2023
524,META,2023-06-08,2023-06-12,5,0.04,2178.990170721481,2266.1497775503403,2023-06-12,2023
525,MSFT,2023-06-08,2023-06-13,5,0.04,2178.990170721481,2266.1497775503403,2023-06-13,2023
523,GOOGL,2023-06-08,2023-06-15,5,0.0233984835626313,2178.990170721481,2229.9752364142428,2023-06-15,2023
526,AMD,2023-06-20,2023-06-21,4,-0.0200000000000001,2241.4829479573486,2196.6532889982013,2023-06-21,2023
527,BA,2023-06-21,2023-06-22,5,-0.02,2232.517016165519,2187.8666758422087,2023-06-22,2023
528,GS,2023-06-21,2023-06-22,5,-0.02,2232.517016165519,2187.8666758422087,2023-06-22,2023
529,GE,2023-06-21,2023-06-28,4,0.0329025234390267,2232.5170161655196,2305.9724596179317,2023-06-28,2023
532,NVDA,2023-06-27,2023-06-30,4,0.04,2214.656880036195,2303.243155237643,2023-06-30,2023
530,META,2023-06-27,2023-07-05,5,0.04,2214.656880036195,2303.243155237643,2023-07-05,2023
531,GOOGL,2023-06-27,2023-07-05,4,0.04,2214.6568800361956,2303.2431552376434,2023-07-05,2023
534,HD,2023-07-07,2023-07-11,4,0.04,2282.4997338475464,2373.799723201448,2023-07-11,2023
536,LLY,2023-07-10,2023-07-11,4,-0.02,2282.499733847547,2236.849739170596,2023-07-11,2023
533,UPS,2023-07-06,2023-07-12,4,0.04,2282.4997338475464,2373.799723201448,2023-07-12,2023
535,COST,2023-07-10,2023-07-14,4,0.04,2282.4997338475464,2373.799723201448,2023-07-14,2023
537,WMT,2023-07-10,2023-07-17,4,0.0018761510927627,2282.4997338475464,2286.782048217435,2023-07-17,2023
538,PLD,2023-07-19,2023-07-19,5,-0.02,2329.006191398475,2282.4260675705054,2023-07-20,2023
539,NVDA,2023-07-21,2023-07-21,5,-0.0200000000000001,2319.6901666328813,2273.296363300223,2023-07-22,2023
540,AMZN,2023-07-21,2023-07-21,4,-0.0200000000000001,2319.6901666328813,2273.296363300223,2023-07-22,2023
