Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Allocation,PnL,Return_pct,Holding_Days,Exit_Reason,Exit_Year
AMD,2024-02-14,2024-02-20,173.47000122070312,165.69000244140625,27.868101886732827,4834.279668310222,-216.81379866010232,-4.484924612065056,6,TIME,2024
TSLA,2024-02-15,2024-02-20,189.16000366210935,193.75999450683597,25.77053711384698,4874.75489482982,118.54423478738367,2.4317988769673837,5,TIME,2024
NVDA,2024-02-15,2024-02-20,73.73794078168315,69.32877349853516,66.89832507845486,4932.944733028893,-294.96590623332213,-5.979509647824677,5,TIME,2024
TSLA,2024-02-20,2024-02-26,196.1300048828125,199.3999938964844,24.231283731002133,4752.481796478263,79.2360315875437,1.6672558671610327,6,TIME,2024
NVDA,2024-02-22,2024-02-27,74.89189108055353,78.56135559082031,63.5407242431511,4758.68499919756,233.16043256689082,4.899682004717865,5,TIME,2024
AMD,2024-02-22,2024-02-27,173.1999969482422,178.0,27.732387963943047,4803.249510722404,133.11554685945825,2.7713643974209834,5,TIME,2024
NVDA,2024-02-27,2024-03-04,79.24014935736925,85.08576965332031,61.10013973908267,4841.584198681043,357.1682169442279,7.377093990052441,6,TIME,2024
TSLA,2024-02-27,2024-03-04,204.0399932861328,188.13999938964844,23.687950788672648,4833.289319883012,-376.6382729601173,-7.792586953375958,6,TIME,2024
AMD,2024-02-29,2024-03-05,179.82000732421875,205.1300048828125,26.849457806364725,4828.069699391807,679.5597115286571,14.075184366420013,5,TIME,2024
NVDA,2024-03-04,2024-03-11,83.98073146925641,85.62582397460938,59.237840572051,4974.837181900038,97.45172755837478,1.9588928038275055,7,TIME,2024
AMD,2024-03-05,2024-03-11,200.5,198.38999938964844,24.914412697213656,4995.339745791338,-52.56942599767153,-1.052369381721474,6,TIME,2024
NVDA,2024-03-11,2024-03-18,86.27969121669621,88.30219268798828,57.74914721914937,4982.578590095738,116.79773521659219,2.3441222873786804,7,TIME,2024
AMD,2024-03-11,2024-03-18,203.00999450683597,190.6499938964844,24.506313332288684,4975.026534970727,-302.8980477445548,-6.088370496426654,7,TIME,2024
NVDA,2024-03-22,2024-03-27,90.9835569272488,90.09410095214844,54.35442067344646,4945.358527590145,-48.34586424111556,-0.9776007941869946,5,TIME,2024
TSLA,2024-03-27,2024-04-01,181.41000366210935,175.22000122070312,27.207371451990255,4935.689354741921,-168.41369571206562,-3.4121615767869096,5,TIME,2024
AVGO,2024-03-28,2024-04-02,128.947745659259,130.98876953125,38.039503425914035,4905.108212769274,77.63953457097402,1.5828302089005541,5,TIME,2024
TSLA,2024-04-01,2024-04-08,176.1699981689453,172.97999572753906,27.962167719859888,4926.0950360074585,-89.19938329336408,-1.8107523838122974,7,TIME,2024
GE,2024-04-10,2024-04-15,149.63463055370747,151.68711853027344,32.744389635769586,4899.69464585503,67.20746602740846,1.3716664177075621,5,TIME,2024
GE,2024-04-15,2024-04-22,155.14128200065227,148.2230987548828,31.668786513185157,4913.136139060512,-219.09046826936725,-4.459279410711825,7,TIME,2024
GE,2024-04-23,2024-04-29,155.7630178988954,162.3358154296875,31.26106640131533,4869.318045406638,205.47266005249287,4.219742028276863,6,TIME,2024
TSLA,2024-04-29,2024-05-06,188.4199981689453,184.75999450683597,26.060994719967322,4910.412577417136,-95.38333611329274,-1.9424709148057828,7,TIME,2024
NVDA,2024-05-03,2024-05-08,87.6373400551101,90.2558135986328,55.6010531385001,4872.72840132098,145.58988663516212,2.9878514590653715,5,TIME,2024
AVGO,2024-05-03,2024-05-08,123.18477585095567,129.6786346435547,39.64637161775012,4883.82940103624,257.4579389245746,5.271640710257985,5,TIME,2024
TSLA,2024-05-06,2024-05-13,183.8000030517578,171.88999938964844,27.09164507401601,4979.444447281282,-322.6615920440981,-6.479871308138952,7,TIME,2024
NVDA,2024-05-08,2024-05-13,89.32841761603471,90.24283599853516,55.10840972343731,4922.747037930756,50.39214288147725,1.0236589955403996,5,TIME,2024
META,2024-05-09,2024-05-14,466.40290121752565,468.23876953125,10.505399428110627,4899.748771719731,19.28652993308618,0.3936228331624658,5,TIME,2024
META,2024-05-14,2024-05-20,459.8236590968153,465.2518615722656,10.702687419623041,4921.348891460519,58.09635434516909,1.1804965595098915,6,TIME,2024
NVDA,2024-05-14,2024-05-20,89.44421267221655,94.61626434326172,55.222821054705,4939.361750776792,285.61528391581527,5.782433001002563,6,TIME,2024
