Date,Equity,Cash,Open_Positions,Hold_Period
2023-08-03,14270.306325312251,14270.306325312251,0,3
2023-08-04,14270.306325312251,14270.306325312251,0,3
2023-08-07,14300.648199831729,11416.245060249801,1,3
2023-08-08,14222.379064641209,8556.115420283455,2,3
2023-08-09,14086.00002252485,11337.10043920076,1,3
2023-08-10,14080.02799373491,14080.02799373491,0,3
2023-08-11,14080.02799373491,14080.02799373491,0,3
2023-08-14,14080.02799373491,14080.02799373491,0,3
2023-08-15,14080.02799373491,14080.02799373491,0,3
2023-08-16,14080.02799373491,14080.02799373491,0,3
2023-08-17,14080.02799373491,14080.02799373491,0,3
2023-08-18,14080.02799373491,14080.02799373491,0,3
2023-08-21,14080.02799373491,14080.02799373491,0,3
2023-08-22,14080.02799373491,14080.02799373491,0,3
2023-08-23,14080.02799373491,14080.02799373491,0,3
2023-08-24,13908.822220395145,11264.022394987927,1,3
2023-08-25,13844.613138903236,11264.022394987927,1,3
2023-08-28,13890.42848152726,13890.42848152726,0,3
2023-08-29,14016.515687274075,11112.342785221808,1,3
2023-08-30,14074.86576827507,8309.039647766993,2,3
2023-08-31,14093.296295419786,11247.204852627063,1,3
2023-09-01,13878.187608968561,11130.501905716657,1,3
2023-09-05,14019.059997409857,5579.226862129231,3,3
2023-09-06,13883.595846062999,8245.113413796911,2,3
2023-09-07,13830.07593559292,13830.07593559292,0,3
2023-09-08,13800.127823783001,11064.060748474336,1,3
2023-09-11,14076.266759435151,11064.060748474336,1,3
2023-09-12,14009.104013516155,14009.104013516155,0,3
2023-09-13,14021.864352579372,11207.283210812924,1,3
2023-09-14,14071.039338279,11207.283210812924,1,3
2023-09-15,14053.921601773172,14053.921601773172,0,3
2023-09-18,13992.970778255656,11243.137281418538,1,3
2023-09-19,14005.617039708872,11243.137281418538,1,3
2023-09-20,13965.086810923063,13965.086810923063,0,3
2023-09-21,13965.086810923063,13965.086810923063,0,3
2023-09-22,13965.086810923063,13965.086810923063,0,3
2023-09-25,13965.086810923063,13965.086810923063,0,3
2023-09-26,13965.086810923063,13965.086810923063,0,3
2023-09-27,13965.086810923063,13965.086810923063,0,3
2023-09-28,13965.086810923063,13965.086810923063,0,3
2023-09-29,13965.086810923063,13965.086810923063,0,3
2023-10-02,13965.086810923063,13965.086810923063,0,3
2023-10-03,13965.086810923063,13965.086810923063,0,3
2023-10-04,13965.086810923063,13965.086810923063,0,3
2023-10-05,13965.086810923063,13965.086810923063,0,3
2023-10-06,14103.972005680513,11172.06944873845,1,3
2023-10-09,14144.76206326968,8351.275047602347,2,3
2023-10-10,14244.176348689256,11331.568877908841,1,3
2023-10-11,14215.550548122286,11388.380465332199,1,3
2023-10-12,14184.284621763902,8545.27035570774,2,3
2023-10-13,14003.899617807412,11288.39010775348,1,3
2023-10-16,14034.17771219683,14034.17771219683,0,3
2023-10-17,14034.17771219683,14034.17771219683,0,3
2023-10-18,14034.17771219683,14034.17771219683,0,3
2023-10-19,14034.17771219683,14034.17771219683,0,3
2023-10-20,14002.40301059665,8420.506627318096,2,3
2023-10-23,14019.317577287413,8420.506627318096,2,3
2023-10-24,14261.50094570922,14261.50094570922,0,3
2023-10-25,14272.394364676049,8556.900567425531,2,3
2023-10-26,14276.466664421678,8556.900567425531,2,3
2023-10-27,14169.375411584037,14169.375411584037,0,3
2023-10-30,14223.82009985453,11335.50032926723,1,3
2023-10-31,14235.159776559458,11335.50032926723,1,3
2023-11-01,14295.028057152322,14295.028057152322,0,3
2023-11-02,14315.615856242272,8577.016834291393,2,3
2023-11-03,14484.596653314627,8577.016834291393,2,3
2023-11-06,14517.321951620319,11590.592236429467,1,3
2023-11-07,14571.642613395465,8687.127846105403,2,3
2023-11-08,14614.87417638775,11666.505611533781,1,3
2023-11-09,14612.278592558738,14612.278592558738,0,3
2023-11-10,14720.640692854306,11689.82287404699,1,3
2023-11-13,14765.584977893164,8745.694735476129,2,3
2023-11-14,14870.689585019058,8856.36425658653,2,3
2023-11-15,14765.677455987152,8802.961675564935,2,3
2023-11-16,14680.875334726148,8784.849763337712,2,3
2023-11-17,14744.25436688571,8824.786534728319,2,3
2023-11-20,14810.392051581526,8859.526720907872,2,3
2023-11-21,14823.363201980661,11912.136277747071,1,3
2023-11-22,14809.30075487394,11940.53518607495,1,3
2023-11-24,14824.489009807761,11940.53518607495,1,3
2023-11-27,14832.205743782308,14832.205743782308,0,3
2023-11-28,14958.042719459088,11865.764595025847,1,3
2023-11-29,14925.706130679522,11865.764595025847,1,3
2023-11-30,14874.819937531114,14874.819937531114,0,3
2023-12-01,14874.819937531114,14874.819937531114,0,3
2023-12-04,14874.819937531114,14874.819937531114,0,3
2023-12-05,14874.819937531114,14874.819937531114,0,3
2023-12-06,14874.819937531114,14874.819937531114,0,3
2023-12-07,14874.819937531114,14874.819937531114,0,3
2023-12-08,14874.819937531114,14874.819937531114,0,3
2023-12-11,14874.819937531114,14874.819937531114,0,3
2023-12-12,14874.819937531114,14874.819937531114,0,3
2023-12-13,14879.563691267496,11899.855950024892,1,3
2023-12-14,14875.466783130069,11899.855950024892,1,3
2023-12-15,14900.263408466184,14900.263408466184,0,3
2023-12-18,14874.946889859391,8940.158045079712,2,3
2023-12-19,14962.074311463242,8940.158045079712,2,3
2023-12-20,14743.480984498095,14743.480984498095,0,3
2023-12-21,14781.262980225343,11794.784787598477,1,3
2023-12-22,14774.645862619203,11794.784787598477,1,3
2023-12-26,14855.972960931496,14855.972960931496,0,3
2023-12-27,14883.689453471232,11884.778368745197,1,3
2023-12-28,14938.916618359475,11884.778368745197,1,3
2023-12-29,14911.200439092483,14911.200439092483,0,3
2024-01-02,14911.200439092483,14911.200439092483,0,3
2024-01-03,14911.200439092483,14911.200439092483,0,3
2024-01-04,14911.200439092483,14911.200439092483,0,3
2024-01-05,14911.200439092483,14911.200439092483,0,3
2024-01-08,14911.200439092483,14911.200439092483,0,3
2024-01-09,14911.200439092483,14911.200439092483,0,3
2024-01-10,14911.200439092483,14911.200439092483,0,3
2024-01-11,14911.200439092483,14911.200439092483,0,3
2024-01-12,14911.200439092483,14911.200439092483,0,3
2024-01-16,14911.200439092483,14911.200439092483,0,3
2024-01-17,14943.573154083151,11928.960351273987,1,3
2024-01-18,14990.626485500896,11928.960351273987,1,3
2024-01-19,15208.201044026027,15208.201044026027,0,3
2024-01-22,15099.888605331393,12166.560835220822,1,3
2024-01-23,15104.074684584199,12166.560835220822,1,3
2024-01-24,15276.223168523757,15276.223168523757,0,3
2024-01-25,15224.916484710226,12220.978534819005,1,3
2024-01-26,15173.609800896693,12220.978534819005,1,3
2024-01-29,15183.27147390518,15183.27147390518,0,3
2024-01-30,15113.100549711417,12146.617179124145,1,3
2024-01-31,15037.757541292103,12146.617179124145,1,3
2024-02-01,15085.8597661253,15085.8597661253,0,3
2024-02-02,15085.8597661253,15085.8597661253,0,3
2024-02-05,15085.8597661253,15085.8597661253,0,3
2024-02-06,15085.8597661253,15085.8597661253,0,3
2024-02-07,15162.211320467362,12068.68781290024,1,3
2024-02-08,15164.9120940598,12068.68781290024,1,3
2024-02-09,15152.461400030594,15152.461400030594,0,3
2024-02-12,15094.273478456902,9091.476840018355,2,3
2024-02-13,14972.608008324212,9091.476840018355,2,3
2024-02-14,15131.774178548387,15131.774178548387,0,3
2024-02-15,15147.282657372121,9079.064507129033,2,3
2024-02-16,14937.834650696961,3020.1514441801833,4,3
2024-02-20,14567.60942022756,8823.162480627765,2,3
2024-02-21,14501.803327982958,14501.803327982958,0,3
2024-02-22,14501.803327982958,14501.803327982958,0,3
2024-02-23,14345.808705953219,8701.081996789773,2,3
2024-02-26,14347.547449657603,8701.081996789773,2,3
2024-02-27,14365.24729968962,14365.24729968962,0,3
2024-02-28,14390.06174982654,8619.148379813772,2,3
2024-02-29,14441.401619310935,8619.148379813772,2,3
2024-03-01,14638.549770103373,11681.24032523158,1,3
2024-03-04,14716.768711854242,8753.530371210905,2,3
2024-03-05,14738.852014723598,11747.178726391108,1,3
2024-03-06,14836.870256975026,11886.298019288894,1,3
2024-03-07,14930.021199626799,8918.923967893888,2,3
2024-03-08,14704.921995652088,11824.109176018876,1,3
2024-03-11,14580.263168329035,11706.208151649536,1,3
2024-03-12,14771.540733517126,8790.155517983729,2,3
2024-03-13,14622.133612092965,11612.05762557649,1,3
2024-03-14,14435.802229970814,11600.205813072407,1,3
2024-03-15,14526.560882116539,8713.045367078244,2,3
2024-03-18,14540.870647055444,11603.06165399302,1,3
2024-03-19,14572.190418649743,14572.190418649743,0,3
2024-03-20,14572.190418649743,14572.190418649743,0,3
2024-03-21,14572.190418649743,14572.190418649743,0,3
2024-03-22,14572.190418649743,14572.190418649743,0,3
2024-03-25,14605.106930378173,11657.752334919795,1,3
2024-03-26,14529.377033572637,11657.752334919795,1,3
2024-03-27,14457.680528986612,14457.680528986612,0,3
2024-03-28,14430.630877776162,11566.14442318929,1,3
2024-04-01,14474.855967250487,8680.018247634056,2,3
2024-04-02,14309.845656776559,11395.243289696866,1,3
2024-04-03,14363.075597216837,14363.075597216837,0,3
2024-04-04,14363.075597216837,14363.075597216837,0,3
2024-04-05,14363.075597216837,14363.075597216837,0,3
2024-04-08,14363.075597216837,14363.075597216837,0,3
2024-04-09,14363.075597216837,14363.075597216837,0,3
2024-04-10,14363.075597216837,14363.075597216837,0,3
2024-04-11,14374.231470788043,11490.46047777347,1,3
2024-04-12,14323.481305044337,11490.46047777347,1,3
2024-04-15,14306.442587992999,14306.442587992999,0,3
2024-04-16,14382.51871522318,11445.1540703944,1,3
2024-04-17,14362.094245294418,11445.1540703944,1,3
2024-04-18,14310.939927774292,14310.939927774292,0,3
2024-04-19,14310.939927774292,14310.939927774292,0,3
2024-04-22,14310.939927774292,14310.939927774292,0,3
2024-04-23,14310.939927774292,14310.939927774292,0,3
2024-04-24,14263.55225205068,11448.751942219435,1,3
2024-04-25,14300.153777070698,11448.751942219435,1,3
2024-04-26,14319.427521964793,14319.427521964793,0,3
2024-04-29,14319.427521964793,14319.427521964793,0,3
2024-04-30,14262.756392065907,11455.542017571835,1,3
2024-05-01,14212.36509729106,11455.542017571835,1,3
2024-05-02,14212.671259703136,14212.671259703136,0,3
2024-05-03,14198.4663366266,11370.137007762509,1,3
2024-05-06,14394.739241033973,5690.75047311187,3,3
2024-05-07,14219.971476514522,8466.318795226409,2,3
2024-05-08,14316.483302532808,11420.611180894037,1,3
2024-05-09,14214.541896074325,8557.314520387476,2,3
2024-05-10,14186.99986367743,8506.688515594176,2,3
2024-05-13,14154.675614103491,11365.873326623934,1,3
2024-05-14,14177.557216304083,14177.557216304083,0,3
2024-05-15,14282.890413070141,8506.53432978245,2,3
2024-05-16,14255.149848196656,5649.95624716842,3,3
2024-05-17,14222.463226784424,11302.867116415899,1,3
2024-05-20,14255.481105467226,14255.481105467226,0,3
2024-05-21,14266.955092948616,11404.384884373781,1,3
2024-05-22,14281.9059739871,11404.384884373781,1,3
2024-05-23,14193.41748112969,14193.41748112969,0,3
2024-05-24,14193.41748112969,14193.41748112969,0,3
2024-05-28,14235.744043742583,8516.050488677814,2,3
2024-05-29,14118.325554678517,8516.050488677814,2,3
2024-05-30,14084.932878104984,11363.476352978232,1,3
2024-05-31,14063.579932836219,11363.476352978232,1,3
2024-06-03,14195.761408194772,14195.761408194772,0,3
2024-06-04,14213.451347181206,11356.609126555817,1,3
2024-06-05,14360.737697021195,11356.609126555817,1,3
2024-06-06,14325.357913060683,14325.357913060683,0,3
2024-06-07,14352.102182376497,11460.286330448547,1,3
2024-06-10,14373.679380412876,11460.286330448547,1,3
2024-06-11,14352.866012590912,14352.866012590912,0,3
2024-06-12,14402.78495475898,11482.29281007273,1,3
2024-06-13,14505.655795301984,11482.29281007273,1,3
2024-06-14,14558.60688209699,14558.60688209699,0,3
2024-06-17,14514.599150992093,11646.885505677592,1,3
2024-06-18,14572.888049329407,2938.1260150823346,4,3
2024-06-20,14313.30780313456,5801.460680261569,3,3
2024-06-21,14262.672048300026,11412.396206367861,1,3
2024-06-24,13985.577166454836,8559.861796707855,2,3
2024-06-25,14145.443187282368,11399.328349652475,1,3
2024-06-26,14313.99952455166,11335.827862074619,1,3
2024-06-27,14320.321454414676,8473.027957164286,2,3
2024-06-28,14361.231182195137,11474.100614731562,1,3
2024-07-01,14550.964319108029,11552.409030475235,1,3
2024-07-02,14856.73514102924,11552.409030475235,1,3
2024-07-03,15072.918101223891,15072.918101223891,0,3
2024-07-05,15201.262592798215,9043.750860734333,2,3
2024-07-08,15341.728238027805,9043.750860734333,2,3
2024-07-09,15385.54901315926,12357.816500590969,1,3
2024-07-10,15498.888988268343,3126.487092695412,4,3
2024-07-11,14963.977118215957,6106.427786167358,3,3
2024-07-12,15066.762416299429,12092.08778889676,1,3
2024-07-15,14975.750018376293,6065.382822376988,3,3
2024-07-16,14948.967215035675,9028.041575970914,2,3
2024-07-17,14558.05669498188,14558.05669498188,0,3
2024-07-18,14536.488337235154,11646.445355985505,1,3
2024-07-19,14420.181600201227,11646.445355985505,1,3
2024-07-22,14562.926946480922,14562.926946480922,0,3
2024-07-23,14562.926946480922,14562.926946480922,0,3
2024-07-24,14562.926946480922,14562.926946480922,0,3
2024-07-25,14562.926946480922,14562.926946480922,0,3
2024-07-26,14562.926946480922,14562.926946480922,0,3
2024-07-29,14562.926946480922,14562.926946480922,0,3
2024-07-30,14562.926946480922,14562.926946480922,0,3
2024-07-31,14562.926946480922,14562.926946480922,0,3
2024-08-01,14545.869345372306,11650.341557184738,1,3
2024-08-02,14384.333817754383,11650.341557184738,1,3
2024-08-05,14351.583337641721,14351.583337641721,0,3
2024-08-06,14351.583337641721,14351.583337641721,0,3
2024-08-07,14351.583337641721,14351.583337641721,0,3
2024-08-08,14421.567167174057,11481.266670113377,1,3
2024-08-09,14468.530395017166,11481.266670113377,1,3
2024-08-12,14394.569124585167,11564.324232258736,1,3
2024-08-13,14517.543175666004,8685.410407341702,2,3
2024-08-14,14566.224849773873,5860.010447749171,3,3
2024-08-15,14883.156035348138,5921.56757941513,3,3
2024-08-16,14921.93694694922,6096.700094349448,3,3
2024-08-19,15129.895309897724,2997.0048357988458,4,3
2024-08-20,15043.338011596854,6111.541950461372,3,3
2024-08-21,15104.586493691042,6121.131835607053,3,3
2024-08-22,14744.643970656121,3012.96216449738,4,3
2024-08-23,14971.832656651917,6050.331722893467,3,3
2024-08-26,14671.84928582321,5807.100301158116,3,3
2024-08-27,14753.435870113293,3006.0984779623486,4,3
2024-08-28,14491.641250887296,5881.895766593518,3,3
2024-08-29,14290.80091466954,11582.626957814322,1,3
2024-08-30,14331.795781511148,14331.795781511148,0,3
2024-09-03,14331.795781511148,14331.795781511148,0,3
2024-09-04,14331.795781511148,14331.795781511148,0,3
2024-09-05,14331.795781511148,14331.795781511148,0,3
2024-09-06,14331.795781511148,14331.795781511148,0,3
2024-09-09,14331.795781511148,14331.795781511148,0,3
