Ticker,Signal_Date,Entry_Date,Signal_Close,Signal_Drop,Score,Distance_SMA20,Distance_SMA50,Distance_SMA200,Return_3D,Return_5D,Return_10D,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Negative_Days_5,SPY_Return,SPY_Distance_SMA50,SPY_Volume_Ratio
META,2021-06-18,2021-06-21,326.790283203125,-0.020356020632030458,4,-0.002158147884195105,0.03541119947480831,0.16218610416735224,-0.021054041366486365,-0.0048299131013402885,-0.0020885916227458834,0.01938360560927962,1.0501668803189694,1.5390925636634671,3.0,-0.01349038304331418,-0.0025918201300517696,1.99672384404542
PEP,2021-06-18,2021-06-21,124.125,-0.02087260490316223,4,-0.011584915156468645,0.0025644612891981833,0.04650285444919966,-0.021267958567383727,-0.015370015932071546,-0.01636916772787811,0.012229498407860879,1.706742517726298,2.0393828885566974,2.0,-0.01349038304331418,-0.0025918201300517696,1.99672384404542
PLD,2021-06-18,2021-06-21,103.52279663085938,-0.024794015662873536,4,-0.010205592127518814,0.026929255659176032,0.1473661354647593,-0.028991484155402425,-0.03640363709702621,-0.018138006888766656,0.017086177602611045,1.4511154126763033,2.396106467824757,3.0,-0.01349038304331418,-0.0025918201300517696,1.99672384404542
COP,2021-06-18,2021-06-21,47.815914154052734,-0.025080504044529994,3,-0.0158662430647869,0.04414120782915365,0.28300247112053656,-0.059506267342120056,-0.04068693756953967,-0.03876354980012864,0.02840752496615128,0.8828824078977113,2.237123969469141,3.0,-0.01349038304331418,-0.0025918201300517696,1.99672384404542
XOM,2021-06-18,2021-06-21,49.933536529541016,-0.02564945217714487,3,-0.010103891971409928,0.023397482272960346,0.29062883278816565,-0.0610912228178947,-0.028470384801306925,-0.017087131266232625,0.025733216186167283,0.9967449071108555,1.6134825910792576,4.0,-0.01349038304331418,-0.0025918201300517696,1.99672384404542
AMD,2021-06-21,2021-06-22,82.58999633789062,-0.024335559962848974,3,0.02229259911943582,0.03506093664350263,-0.013846669673863166,0.030957379960606435,0.012752829518261954,0.015242752145397942,0.025833300209674084,0.9420228838487994,1.2261312192368863,3.0,0.014316145538351144,0.01116647306449714,1.2291115220977025
BA,2021-06-28,2021-06-29,239.9600067138672,-0.033899661822286875,4,-0.028846032385549614,0.0020144109938620147,0.11966086577048851,-0.014821203357547441,-0.021689465475807634,-0.02113075258496544,0.023131819220835775,1.4654991679924623,1.548494969012186,4.0,0.0020158665489915517,0.023969592588267696,0.8999774834638897
COP,2021-07-06,2021-07-07,50.101566314697266,-0.03936273514495914,4,-0.0032987312982600825,0.049432294788810616,0.30084142957356685,-0.010180639541556902,0.011578858105266043,-0.002812570681554827,0.030927095490029803,1.2727588711862319,1.2890920690327679,3.0,-0.0018214121703518105,0.03273735991857052,1.151839411956798
BLK,2021-07-08,2021-07-09,776.977294921875,-0.027127261805638625,5,0.0024090306136641537,0.016592662956644855,0.19250643186461813,-0.019169124266456894,0.001748693358884168,0.012803011582237511,0.016459119905747582,1.648159923554946,1.1159444685620121,2.0,-0.008147973787596685,0.0263279744930367,1.5508172263270845
NVDA,2021-07-08,2021-07-09,19.83414649963379,-0.02302193934204433,4,0.0407816503841687,0.1822154889738421,0.38374028771360313,-0.028518137735523807,-0.004987023156995507,0.04436657662991372,0.026935430290773287,0.8547084302540539,1.1285679497465486,2.0,-0.008147973787596685,0.0263279744930367,1.5508172263270845
BLK,2021-07-14,2021-07-15,780.36376953125,-0.030559102624868384,5,0.0010691424203734812,0.013210963451263602,0.1858686529992264,-0.02328818295642665,-0.02288697209887236,0.007773158739083019,0.018652299309773274,1.6383557928890988,1.5500502959271996,3.0,0.0014922374716743736,0.03520538561192321,0.9758561189547951
LLY,2021-07-15,2021-07-16,220.48703002929688,-0.02064729094448481,5,0.006426516283082329,0.07796408410487343,0.2655811523320246,-0.019236283967469237,-0.02382739075121143,0.008496310257981143,0.015077560693631297,1.3694052615026875,1.0914569735583426,3.0,-0.0034154980469341956,0.030667588247651256,0.8552817758006941
ORCL,2021-07-15,2021-07-16,80.61870574951172,-0.023108194909923552,5,0.06050549381399262,0.07226620128788741,0.27183601230553545,-0.005993189826393075,0.011311299326507429,0.11200063730181387,0.022998102391560343,1.004787026185413,1.4032923861175524,3.0,-0.0034154980469341956,0.030667588247651256,0.8552817758006941
CRM,2021-07-15,2021-07-16,233.5396728515625,-0.020005699943378308,3,-0.027626464847016585,0.0141741322715212,0.019396449482172118,-0.021942251528601076,-0.033441725404913525,-0.027387681996360658,0.020777959593768186,0.9628327484753846,1.3742831239296793,4.0,-0.0034154980469341956,0.030667588247651256,0.8552817758006941
AAPL,2021-07-19,2021-07-20,138.73374938964844,-0.026914450222298214,5,0.01628400271406094,0.07829742543981322,0.12314160918450034,-0.04492120595090743,-0.01418718316642631,0.017790858676922428,0.021325788008967235,1.262061228920639,1.4123039896221745,3.0,-0.014768045718573264,0.0063266696884791696,2.2709281922368407
V,2021-07-19,2021-07-20,231.15762329101562,-0.031073900545865563,5,0.0071426427627641065,0.03309734859488134,0.11439100266015445,-0.0226839141606181,0.010678099158915044,0.007459008571199632,0.015289375107185631,2.032385256298774,1.503838033291351,2.0,-0.014768045718573264,0.0063266696884791696,2.2709281922368407
NFLX,2021-07-21,2021-07-22,51.362998962402344,-0.03280294877789258,4,-0.03458725011703234,0.007236522618148333,-0.007131591430345918,-0.03145328813809012,-0.06263343956981882,-0.041663588346369074,0.025223828234737962,1.3004746334545976,3.056599511223379,4.0,0.008096421390229258,0.02763541982681028,0.968111046395273
LOW,2021-07-27,2021-07-28,175.64871215820312,-0.02139192001731538,4,-0.0057637012061033666,0.007894003466213384,0.09179117299884365,-0.01656761987492439,-0.00309127671070486,0.00018446127099647214,0.02041134145390942,1.0480408681428504,1.2829838490452845,2.0,-0.004557600397255612,0.03259923509305196,0.9954933524326606
ABBV,2021-07-30,2021-08-02,96.8011703491211,-0.02162033240743466,4,-0.0029243460248521425,0.01725901352517245,0.10763654866789896,-0.01407262897326167,-0.015991247480633852,-0.010212858573786732,0.014786012482179697,1.4622152141080484,1.569436950657036,2.0,-0.0048565663828921135,0.02737742323325798,1.007569646217694
MA,2021-08-02,2021-08-03,364.3233337402344,-0.027672864897549387,4,-0.016555958767956458,0.006152912549004741,0.060304957652043134,-0.021333165879362515,-0.044653687624968574,0.02684356921544029,0.02656253780639287,1.0418004898195117,1.003153956043474,4.0,-0.00209779806037258,0.024086634328348122,0.8583074289579853
V,2021-08-02,2021-08-03,230.5518798828125,-0.02682731279621342,4,-0.017234662096330844,0.012539986504030987,0.10032460168096868,-0.028994973724710826,-0.04183807410407159,-0.002620477748382699,0.019523866507043058,1.3740778644709393,1.2636714846289883,3.0,-0.00209779806037258,0.024086634328348122,0.8583074289579853
UNH,2021-08-05,2021-08-06,376.6527099609375,-0.024552945509380475,4,-0.009613838294645016,0.009194217124317117,0.11899858540946173,-0.010539600242848501,-0.0021596962503200867,-0.0110154752246161,0.016120442943355774,1.5230937261249544,1.4421917017669714,2.0,0.006332770860045578,0.0302951969135421,0.6071701787870526
AMD,2021-08-09,2021-08-10,107.58000183105469,-0.022977011763444022,4,0.09859027233675177,0.19100603417731588,0.2499709740214222,-0.09421567002010156,-0.00966579627093056,0.17164018937716063,0.053196288312692956,0.4319288524113358,1.3466431037852629,3.0,-0.0008137729822794704,0.028806857636622052,0.6634497338965057
PFE,2021-08-11,2021-08-12,35.54389953613281,-0.039011950958526165,4,0.07634926714814583,0.13958953493263304,0.2434913508159573,0.02751306554120103,0.024784338879360712,0.07547640653881227,0.023338190933293302,1.6715927584118495,1.4630201248585777,2.0,0.002484895825265898,0.03027369011248715,0.7260358004735837
TSLA,2021-08-17,2021-08-18,221.90333557128906,-0.02981764971635026,3,-0.030198576742999195,0.005757681155269978,0.0007917462420132804,-0.07828313366027384,-0.06236705323956826,-0.062036800009184434,0.035836067842151736,0.8320569613744735,1.194455452324856,4.0,-0.006555168485866569,0.025940109524332566,1.717449793532935
AAPL,2021-08-18,2021-08-19,142.75535583496094,-0.02550092782254132,4,-0.004835723059785968,0.036065899346716,0.12514484705110052,-0.018376813601433728,0.003428270749301854,-0.002522370337231905,0.015844047240673204,1.6094958210600363,1.2018068171345249,2.0,-0.01094486718297305,0.013855056812021926,1.618941521035238
PFE,2021-08-18,2021-08-19,37.846466064453125,-0.022014767726604823,3,0.09090469564134174,0.18349882542332074,0.31017865232881925,0.01712057932633515,0.06478092044964279,0.09117081161434415,0.028304877157178693,0.7777729471975974,2.200193849897202,1.0,-0.01094486718297305,0.013855056812021926,1.618941521035238
