Date,Cash,Open_Positions,Equity,Daily_Return,Peak,Drawdown
2024-07-15,5170.782565525782,3,12774.87457365193,0.008000000000000007,12886.34434714439,-0.008650224647858362
2024-07-16,5170.782565525782,3,12774.87457365193,0.0,12886.34434714439,-0.008650224647858362
2024-07-17,12622.79273348941,0,12622.79273348941,-0.01190476190476164,12886.34434714439,-0.020452007687764673
2024-07-18,5049.117093395763,3,12622.792733489408,-1.1102230246251565e-16,12886.34434714439,-0.020452007687764784
2024-07-19,2484.1656099507163,4,12521.810391621493,-0.008000000000000007,12886.34434714439,-0.02828839162626262
2024-07-20,2484.1656099507163,4,12521.810391621493,0.0,12886.34434714439,-0.02828839162626262
2024-07-21,2484.1656099507163,4,12521.810391621493,0.0,12886.34434714439,-0.02828839162626262
2024-07-22,2444.095816697527,4,12471.723150055008,-0.0039999999999998925,12886.34434714439,-0.03217523805975753
2024-07-23,2444.095816697527,4,12471.723150055008,0.0,12886.34434714439,-0.03217523805975753
2024-07-24,4888.553554108308,3,12421.836257454786,-0.004000000000000115,12886.34434714439,-0.036046537107518595
2024-07-25,2427.639066795986,4,12393.938705740973,-0.0022458476456789223,12886.34434714439,-0.03821142972269975
2024-07-26,7499.435845398755,2,12457.011327695145,0.005088989340003458,12886.34434714439,-0.03331689794122139
2024-07-27,7499.435845398755,2,12457.011327695145,0.0,12886.34434714439,-0.03331689794122139
2024-07-28,7499.435845398755,2,12457.011327695145,0.0,12886.34434714439,-0.03331689794122139
2024-07-29,10077.375096192878,1,12556.162837341073,0.007959494218768848,12886.34434714439,-0.02562258937900297
2024-07-30,12655.314346987001,0,12655.314346987001,0.00789664095077347,12886.34434714439,-0.017928280816784548
2024-07-31,12655.314346987001,0,12655.314346987001,0.0,12886.34434714439,-0.017928280816784548
2024-08-01,7593.188608192201,2,12655.314346987001,0.0,12886.34434714439,-0.017928280816784548
2024-08-02,7623.561362624969,2,12705.93560437495,0.0040000000000000036,12886.34434714439,-0.01399999394005158
2024-08-03,12604.28811953995,0,12604.28811953995,-0.008000000000000118,12886.34434714439,-0.02188799398853125
2024-08-04,12604.28811953995,0,12604.28811953995,0.0,12886.34434714439,-0.02188799398853125
2024-08-05,7562.572871723969,2,12604.28811953995,0.0,12886.34434714439,-0.02188799398853125
2024-08-06,7562.572871723969,2,12604.28811953995,0.0,12886.34434714439,-0.02188799398853125
2024-08-07,10184.264800588278,1,12705.122424496269,0.008000000000000007,12886.34434714439,-0.014063097940439584
2024-08-08,7643.240315689025,2,12705.122424496269,0.0,12886.34434714439,-0.014063097940439584
2024-08-09,7643.240315689025,2,12705.122424496269,0.0,12886.34434714439,-0.014063097940439584
2024-08-10,7643.240315689025,2,12705.122424496269,0.0,12886.34434714439,-0.014063097940439584
2024-08-11,7643.240315689025,2,12705.122424496269,0.0,12886.34434714439,-0.014063097940439584
2024-08-12,10163.887880745431,1,12704.912365644685,-1.6533398464524396e-05,12886.34434714439,-0.014079398828102163
2024-08-13,10163.887880745431,1,12704.912365644685,0.0,12886.34434714439,-0.014079398828102163
2024-08-14,10163.887880745431,1,12704.912365644685,0.0,12886.34434714439,-0.014079398828102163
2024-08-15,12806.553345040655,0,12806.553345040655,0.008000132269374571,12886.34434714439,-0.006191903611625693
2024-08-16,12806.553345040655,0,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
2024-08-17,12806.553345040655,0,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
2024-08-18,12806.553345040655,0,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
2024-08-19,12806.553345040655,0,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
2024-08-20,12806.553345040655,0,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
2024-08-21,10245.242676032523,1,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
2024-08-22,10245.242676032523,1,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
2024-08-23,5122.621338016261,3,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
2024-08-24,5122.621338016261,3,12806.553345040655,0.0,12886.34434714439,-0.006191903611625693
