Group,Year,Horizon,N,Mean,Median,Win_Rate
B,2018,5,437,-0.0011464855713127552,-0.0016045502234138809,0.4645308924485126
B,2019,1,922,-0.0005518271046359755,-0.000463493892615241,0.47830802603036876
B,2019,3,922,0.0011602535323202775,0.0007833795253583409,0.5184381778741866
B,2019,5,922,0.0023038637075956567,0.00284155637792749,0.5629067245119306
B,2020,1,681,-0.002077710626649553,-0.0011255736699689045,0.4713656387665198
B,2020,3,681,-0.002468624464042943,-0.0017063667071884892,0.46402349486049926
B,2020,5,681,-0.001393790767527541,0.0015489548861835623,0.5168869309838473
B,2021,1,713,0.0004415047122966063,6.172581037477975e-05,0.5035063113604488
B,2021,3,713,0.001964732147524179,0.0017963161256502325,0.5329593267882188
B,2021,5,713,0.005539355738355129,0.003925196909544404,0.5694249649368864
B,2022,1,557,0.0012484769066068862,0.0018029030214055108,0.5655296229802513
B,2022,3,557,-0.0015760689083867616,-0.0004835947715674527,0.49371633752244165
B,2022,5,557,-0.0009398602414392058,0.001615957403610535,0.5242369838420108
B,2023,1,802,0.0013597490024913868,0.0005736134771708867,0.5324189526184538
B,2023,3,802,0.0022455058401379194,0.0018384181904673724,0.5349127182044888
B,2023,5,802,0.007346672852784407,0.004025928401287349,0.57356608478803
B,2024,1,608,-0.0009673603117391013,-0.0007446360748430414,0.47039473684210525
B,2024,3,608,0.0028257127458897,0.0018318523143997512,0.5411184210526315
B,2024,5,608,0.0038028029312539495,0.0026576714544510605,0.5361842105263158
B,2025,1,569,-0.0001764030640903907,0.00022428993866818736,0.5026362038664324
B,2025,3,569,0.0013487397159208795,0.0028425612122684463,0.5430579964850615
B,2025,5,569,0.002808440656936814,0.0027502294880099587,0.5342706502636204
