Date,Strategy,Cash,Open_Position_Value,Open_Positions,Equity,Peak,Drawdown,Daily_Return
2019-04-27,BASE,7925.525747418382,1961.3278601619193,1,9886.8536075803,10311.82474788936,-0.04121202121826639,-2.220446049250313e-16
2019-04-28,BASE,7925.525747418382,1961.3278601619193,1,9886.8536075803,10311.82474788936,-0.04121202121826639,0.0
2019-04-29,BASE,7909.48288606424,1937.8233070857393,1,9847.30619314998,10311.82474788936,-0.04504717313339324,-0.0040000000000000036
2019-04-30,BASE,7909.48288606424,1937.8233070857393,1,9847.30619314998,10311.82474788936,-0.04504717313339324,0.0
2019-05-01,BASE,7909.48288606424,1937.8233070857393,1,9847.30619314998,10311.82474788936,-0.04504717313339324,0.0
2019-05-02,BASE,0.0,9768.52774360478,5,9768.52774360478,10311.82474788936,-0.05268679574832613,-0.008000000000000007
2019-05-03,BASE,2048.2396881751956,7720.288055429584,4,9768.52774360478,10311.82474788936,-0.05268679574832613,0.0
2019-05-04,BASE,2048.2396881751956,7720.288055429584,4,9768.52774360478,10311.82474788936,-0.05268679574832613,0.0
2019-05-05,BASE,2048.2396881751956,7720.288055429584,4,9768.52774360478,10311.82474788936,-0.05268679574832613,0.0
2019-05-06,BASE,5908.383715889988,3860.144027714792,2,9768.52774360478,10311.82474788936,-0.05268679574832613,0.0
2019-05-07,BASE,7814.822194883824,1914.631437746537,1,9729.45363263036,10311.82474788936,-0.05647604856533284,-0.0040000000000000036
2019-05-08,BASE,0.0,9590.015287063032,5,9590.015287063032,10311.82474788936,-0.06999822809964551,-0.014331569976312353
2019-05-09,BASE,1906.972911995551,7683.042375067481,4,9590.015287063032,10311.82474788936,-0.06999822809964551,0.0
2019-05-10,BASE,3813.945823991101,5776.069463071931,3,9590.015287063032,10311.82474788936,-0.06999822809964551,0.0
2019-05-11,BASE,3813.945823991101,5776.069463071931,3,9590.015287063032,10311.82474788936,-0.06999822809964551,0.0
2019-05-12,BASE,3813.945823991101,5776.069463071931,3,9590.015287063032,10311.82474788936,-0.06999822809964551,0.0
2019-05-13,BASE,7627.891647982203,1962.1236390808292,1,9590.015287063032,10311.82474788936,-0.06999822809964551,0.0
2019-05-14,BASE,0.0,9810.67946399841,5,9810.67946399841,10311.82474788936,-0.048599088536054436,0.023009783647900406
2019-05-15,BASE,1962.123639080829,7848.55582491758,4,9810.67946399841,10311.82474788936,-0.048599088536054436,0.0
2019-05-16,BASE,5912.437485186877,3898.241978811532,2,9810.67946399841,10311.82474788936,-0.048599088536054436,0.0
2019-05-17,BASE,5912.437485186877,3898.241978811532,2,9810.67946399841,10311.82474788936,-0.048599088536054436,0.0
2019-05-18,BASE,5912.437485186877,3898.241978811532,2,9810.67946399841,10311.82474788936,-0.048599088536054436,0.0
2019-05-19,BASE,5912.437485186877,3898.241978811532,2,9810.67946399841,10311.82474788936,-0.048599088536054436,0.0
2019-05-20,BASE,5912.437485186877,3898.241978811532,2,9810.67946399841,10311.82474788936,-0.048599088536054436,0.0
2019-05-21,BASE,7848.5435711987275,1978.3660161307503,1,9826.909587329477,10311.82474788936,-0.04702515533529961,0.0016543322397419846
2019-05-22,BASE,7848.5435711987275,1978.3660161307503,1,9826.909587329477,10311.82474788936,-0.04702515533529961,0.0
