Ticker,Sector,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,PnL_$,PnL_%,Exit,Signal_Drop,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Distance_SMA50,Win,Drop_Abs,Drop_Group,ATR_Group,Volume_Group,SMA_Group,ATR_Pct_Group
CRM,Technology,2026-08-07,2026-08-11,191.08999633789065,198.73359619140624,10.642004952980116,81.34322749971152,4.000000000000004,TP,-3.217945690000823,4.861593592977719,0.6619117020906381,1.0502716784988355,8.683383758216623,True,3.217945690000823,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2026-08-13,2026-08-17,196.83999633789065,192.9031964111328,10.413784653165743,-40.99698665985471,-2.000000000000013,SL,-2.1015819470452723,4.377640356521,0.4800718596982787,1.0267166808241417,12.14693435675882,False,2.1015819470452723,> -4%,< 0.5 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2026-08-18,2026-08-19,194.08999633789065,201.85359619140627,10.519088949367871,81.66599742643044,4.000000000000004,TP,-2.6706107302700177,4.25309792373676,0.6279212889421616,1.143308779563121,10.676449846008506,True,2.6706107302700177,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2021-12-01,2021-12-02,676.0,662.48,2.9585798816568047,-39.99999999999994,-2.0000000000000018,SL,-2.565857670512961,2.934345020421678,0.8744226233301754,2.2879212390069266,6.031298964610898,False,2.565857670512961,> -4%,0.5 - 1 ATR,> 2x,> 20%,> 6%
ADBE,Technology,2022-12-16,2022-12-19,345.0,338.1,5.773913043478261,-39.8400000000002,-2.000000000000013,SL,-3.29784111844873,3.183223261494246,1.0360068545429897,1.9266002007641647,3.289059068792444,False,3.29784111844873,> -4%,1 - 1.5 ATR,1.5 - 2x,> 20%,> 6%
ADBE,Technology,2022-12-20,2022-12-21,327.0,340.08,6.067376146788991,79.36127999999991,4.000000000000004,TP,-2.888875327123752,3.7052655431818966,0.7796675551202008,1.2207603649464949,2.78722689818669,True,2.888875327123752,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2023-02-06,2023-02-10,376.2099914550781,368.68579162597655,5.315925417783066,-39.99808512000007,-2.0000000000000018,SL,-3.288892754948358,2.942782656476709,1.1176132045327585,1.0278037815278258,10.283360535897137,False,3.288892754948358,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2023-02-17,2023-02-21,359.3099975585937,352.12379760742186,5.543693892489518,-39.83809277952006,-2.0000000000000018,SL,-2.867478509679755,3.0127697053858404,0.9517748749775488,1.1152935148951135,4.00568328808244,False,2.867478509679755,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2023-02-21,2023-02-24,350.7799987792969,343.76439880371095,5.655787180922895,-39.678740408401865,-2.0000000000000018,SL,-2.275714063767831,3.186213104160715,0.7142378709057754,1.14514415461383,1.4902309565965055,False,2.275714063767831,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
ADBE,Technology,2023-04-26,2023-05-03,368.6000061035156,361.2280059814453,5.360828105313394,-39.520025446768486,-2.000000000000013,SL,-2.0538506586140537,1.960665915069966,1.0475270890506414,1.1664390762649397,2.388236382142006,False,2.0538506586140537,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
