Ticker,Signal_Date,Entry_Date,exit_date,allocated_capital,pnl_pct,Score,Score_Level,Exit,exit_date_actual,pnl_dollars
MS,2022-01-12,2022-01-13,2022-01-14,2105.7826292820714,-0.02,5,HIGH,SL,2022-01-14,-42.11565258564143
BAC,2022-01-18,2022-01-19,2022-01-19,2089.0032184900138,-0.02,4,HIGH,SL,2022-01-20,-41.78006436980028
BA,2022-01-19,2022-01-20,2022-01-21,2080.6472056160537,-0.02,5,HIGH,SL,2022-01-21,-41.612944112321074
CAT,2022-01-19,2022-01-20,2022-01-20,2080.6472056160537,-0.02,5,HIGH,SL,2022-01-21,-41.612944112321074
GE,2022-01-19,2022-01-20,2022-01-20,2080.6472056160537,-0.02,4,HIGH,SL,2022-01-21,-41.612944112321074
CAT,2022-01-20,2022-01-21,2022-01-21,2055.679439148661,-0.0200000000000001,4,HIGH,SL,2022-01-22,-41.11358878297343
COP,2022-01-21,2022-01-24,2022-01-24,2047.4567213920664,-0.02,5,HIGH,SL,2022-01-25,-40.94913442784133
DUK,2022-01-18,2022-01-19,2022-01-26,2089.0032184900138,0.0006870086825339,4,HIGH,TIME,2022-01-26,1.435163348943901
CVX,2022-01-28,2022-01-31,2022-02-01,2039.5539271762868,0.04,5,HIGH,TP,2022-02-01,81.58215708705147
MA,2022-02-04,2022-02-07,2022-02-07,2055.8703585936973,-0.02,4,HIGH,SL,2022-02-08,-41.11740717187395
BAC,2022-02-11,2022-02-14,2022-02-14,2047.6468771593227,-0.02,4,HIGH,SL,2022-02-15,-40.95293754318646
BA,2022-02-11,2022-02-14,2022-02-18,2047.6468771593227,-0.0199999999999999,4,HIGH,SL,2022-02-18,-40.95293754318625
COP,2022-03-09,2022-03-10,2022-03-14,2031.2657021420482,-0.02,4,HIGH,SL,2022-03-14,-40.62531404284096
NVDA,2022-03-23,2022-03-24,2022-03-24,2023.1406393334798,0.04,4,HIGH,TP,2022-03-25,80.92562557333919
COP,2022-03-29,2022-03-30,2022-04-01,2039.3257644481478,-0.02,4,HIGH,SL,2022-04-01,-40.78651528896295
UPS,2022-03-31,2022-04-01,2022-04-01,2031.1684613903553,-0.02,5,HIGH,SL,2022-04-02,-40.62336922780711
UNH,2022-03-31,2022-04-01,2022-04-06,2031.1684613903553,0.04,5,HIGH,TP,2022-04-06,81.24673845561422
GOOGL,2022-03-31,2022-04-01,2022-04-06,2031.1684613903553,-0.02,4,HIGH,SL,2022-04-06,-40.62336922780711
V,2022-04-06,2022-04-07,2022-04-07,2031.1684613903553,-0.02,5,HIGH,SL,2022-04-08,-40.62336922780711
AMZN,2022-04-06,2022-04-07,2022-04-07,2031.1684613903553,-0.0200000000000001,4,HIGH,SL,2022-04-08,-40.62336922780731
GOOGL,2022-04-06,2022-04-07,2022-04-08,2031.1684613903553,-0.02,4,HIGH,SL,2022-04-08,-40.62336922780711
MSFT,2022-04-06,2022-04-07,2022-04-11,2031.1684613903553,-0.0200000000000001,4,HIGH,SL,2022-04-11,-40.62336922780731
