Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Margin,PnL,Return,Hold_Days
TSLA,2022-12-14,2022-12-16,159.170375,150.3051107254028,7.6165982480437195,1212.336799365462,66.34458112114727,0.05472454614581697,3
NFLX,2022-12-16,2022-12-20,28.861561450958256,28.833409744262692,42.0614817150382,1213.960039236932,-0.029265491566151547,-2.4107458746786406e-05,3
CRM,2022-12-16,2022-12-20,128.85553816986084,128.5142219467163,9.421093237270542,1213.960039236932,2.003219708381553,0.0016501529240128298,3
NVDA,2022-12-16,2022-12-20,16.855568320274354,16.09304158401489,72.02130572938005,1213.960039236932,53.73167024533171,0.044261481851664765,3
AMD,2022-12-16,2022-12-20,66.216875,65.08252805328368,18.33309166639066,1213.960039236932,19.592524559681554,0.01613934884709794,3
TSLA,2022-12-19,2022-12-21,153.923,137.63879232788085,7.96913107966146,1226.6325631747309,128.60923839710537,0.10484740276602725,3
NVDA,2022-12-21,2022-12-23,16.105943320274353,15.213603328227997,77.75446707354011,1252.3090395845754,68.16580320065184,0.054432093872982236,3
AMD,2022-12-21,2022-12-23,65.3972853050232,64.55225664138794,19.149251130893422,1252.3090395845754,14.93744788621669,0.011927924668795685,3
AMZN,2022-12-21,2022-12-23,86.13691030502319,85.292625,14.538587873072867,1252.3090395845754,11.028544415487739,0.008806567761537681,3
DIS,2022-12-21,2022-12-23,87.14640744018556,88.05400713729858,14.370174013703542,1252.3090395845754,-14.301195804674565,-0.01141986151391086,3
TSLA,2022-12-22,2022-12-27,135.93200000000002,109.15454847335815,9.121433848237853,1239.8947458586679,243.13098235516316,0.19609001745288224,3
NVDA,2022-12-27,2022-12-29,15.066463358402254,14.61030118703842,85.04463732587115,1281.3219120988463,37.532221586533026,0.02929179719174087,3
TSLA,2022-12-28,2022-12-30,110.29482347488404,123.24159030532836,11.897819684553848,1312.2679218438673,-155.42758431705641,-0.11844195970184591,3
AMD,2022-12-28,2022-12-30,62.508730915069584,64.80238164138794,20.993354090436448,1312.2679218438673,-49.48776549016051,-0.03771163240859021,3
