Group,Direction,Year,Horizon,N,Action_Mean,Action_Median,Directional_Win_Rate,Directional_Mean
B_GAP_DOWN,SHORT,2022,5,586,0.0014937609346659271,-0.00034050367145860294,0.5017064846416383,-0.0014937609346659271
B_GAP_DOWN,SHORT,2023,1,191,0.0017749212620161417,0.0020585148971272726,0.46596858638743455,-0.0017749212620161417
B_GAP_DOWN,SHORT,2023,3,191,0.00766651842542631,0.007484278699591673,0.42408376963350786,-0.00766651842542631
B_GAP_DOWN,SHORT,2023,5,191,0.009545510043577631,0.012808823028410465,0.418848167539267,-0.009545510043577631
B_GAP_DOWN,SHORT,2024,1,247,0.0003426605535541659,0.0018769810038434809,0.46558704453441296,-0.0003426605535541659
B_GAP_DOWN,SHORT,2024,3,247,0.002448151639396604,0.0011148628819668271,0.48582995951417,-0.002448151639396604
B_GAP_DOWN,SHORT,2024,5,247,0.010161273724175903,0.004137698311191151,0.4534412955465587,-0.010161273724175903
B_GAP_DOWN,SHORT,2025,1,402,0.0021563468756098767,0.000833172154039552,0.4900497512437811,-0.0021563468756098767
B_GAP_DOWN,SHORT,2025,3,402,0.005670333840680153,4.780380437052756e-06,0.5,-0.005670333840680153
B_GAP_DOWN,SHORT,2025,5,402,0.01351124806094724,0.00769717711127238,0.4427860696517413,-0.01351124806094724
